

id_nota,registro_estudiante,codigo_materia,nombre_materia,nota,fecha_evaluacion,tipo_evaluacion
N335,EST075,MAT038,Psicometría,88,2023/12/15,Examen Final
N336,EST076,MAT041,Matemáticas Aplicadas,81,2022/06/22,Examen Final
N337,EST076,MAT042,Física I,85,2022/07/18,Examen Final
N338,EST076,MAT043,Dibujo Técnico,88,2022/12/25,Proyecto
N339,EST076,MAT044,Mecánica de Materiales,84,2023/05/20,Examen Final
N340,EST077,MAT049,Administración General,92,2021/12/18,Examen Final
N341,EST077,MAT050,Contabilidad,88,2022/05/25,Examen Final
N342,EST077,MAT051,Marketing,94,2022/07/22,Proyecto
N343,EST077,MAT052,Finanzas,90,2022/12/20,Caso de Estudio
N344,EST077,MAT053,Recursos Humanos,86,2023/05/18,Proyecto
N345,EST077,MAT054,Operaciones,93,2023/12/25,Examen Final
N346,EST077,MAT055,Estrategia Empresarial,91,2024/05/22,Caso de Estudio
N347,EST078,MAT001,Cálculo I,76,2023/06/20,Examen Final
N348,EST078,MAT002,Álgebra Lineal,82,2023/07/25,Examen Final
N349,EST078,MAT003,Programación I,89,2023/12/18,Proyecto
N350,EST079,MAT009,Anatomía Humana,85,2022/12/22,Examen Final
N351,EST079,MAT010,Fisiología,81,2023/05/20,Examen Final
N352,EST079,MAT011,Bioquímica,87,2023/07/18,Examen Final
N353,EST079,MAT012,Patología,84,2023/12/25,Examen Final
N354,EST079,MAT013,Farmacología,90,2024/05/22,Examen Final
N355,EST080,MAT017,Derecho Civil,78,2024/06/25,Examen Final
N356,EST080,MAT018,Derecho Penal,83,2024/07/20,Examen Final
N357,EST081,MAT025,Microeconomía,96,2020/12/18,Examen Final
N358,EST081,MAT026,Macroeconomía,93,2021/05/22,Examen Final
N359,EST081,MAT027,Estadística,90,2021/07/25,Examen Final
N360,EST081,MAT028,Econometría,94,2021/12/20,Proyecto
N361,EST081,MAT029,Finanzas Públicas,91,2022/05/18,Examen Final
N362,EST081,MAT030,Comercio Internacional,95,2022/12/25,Caso de Estudio
N363,EST081,MAT031,Desarrollo Económico,89,2023/05/22,Ensayo
N364,EST081,MAT032,Política Económica,92,2023/12/20,Examen Final
N365,EST082,MAT033,Psicología General,75,2024/06/18,Examen Final
N366,EST083,MAT041,Matemáticas Aplicadas,88,2021/06/25,Examen Final

N367,EST083,MAT042,Física I,84,2021/07/20,Examen Final
N368,EST083,MAT043,Dibujo Técnico,91,2021/12/18,Proyecto
N369,EST083,MAT044,Mecánica de Materiales,87,2022/05/25,Examen Final
N370,EST083,MAT045,Hidráulica,93,2022/12/22,Laboratorio
N371,EST083,MAT046,Estructuras,89,2023/05/20,Proyecto
N372,EST084,MAT049,Administración General,82,2022/12/25,Examen Final
N373,EST084,MAT050,Contabilidad,78,2023/05/18,Examen Final
N374,EST084,MAT051,Marketing,86,2023/07/22,Proyecto
N375,EST084,MAT052,Finanzas,91,2023/12/20,Caso de Estudio

N376,EST085,MAT001,Cálculo I,94,2021/12/22,Examen Final
N377,EST085,MAT002,Álgebra Lineal,90,2022/05/25,Examen Final
N378,EST085,MAT003,Programación I,87,2022/06/18,Proyecto
N379,EST085,MAT004,Estructura de Datos,93,2022/12/20,Examen Final
N380,EST085,MAT005,Base de Datos,89,2023/05/25,Proyecto
N381,EST085,MAT006,Sistemas Operativos,95,2023/12/18,Examen Final
N382,EST085,MAT007,Redes de Computadores,92,2024/05/22,Proyecto
N383,EST086,MAT009,Anatomía Humana,80,2023/06/20,Examen Final
N384,EST086,MAT010,Fisiología,85,2023/07/25,Examen Final
N385,EST086,MAT011,Bioquímica,82,2023/12/18,Examen Final
N386,EST087,MAT017,Derecho Civil,91,2022/06/22,Examen Final
N387,EST087,MAT018,Derecho Penal,87,2022/07/18,Examen Final
N388,EST087,MAT019,Derecho Constitucional,84,2022/12/25,Ensayo
N389,EST087,MAT020,Derecho Comercial,89,2023/05/20,Examen Final
N390,EST087,MAT021,Derecho Laboral,93,2023/12/22,Examen Final
N391,EST088,MAT025,Microeconomía,79,2024/12/20,Examen Final
N392,EST089,MAT033,Psicología General,97,2020/06/25,Examen Final
N393,EST089,MAT034,Neuropsicología,94,2020/12/18,Examen Final
N394,EST089,MAT035,Psicología del Desarrollo,91,2021/05/22,Ensayo
N395,EST089,MAT036,Psicología Social,95,2021/12/25,Proyecto
N396,EST089,MAT037,Psicología Clínica,92,2022/05/20,Caso Clínico
N397,EST089,MAT038,Psicometría,89,2022/12/18,Examen Final
N398,EST089,MAT039,Psicoterapia,96,2023/05/25,Caso Clínico
N399,EST089,MAT040,Ética Profesional,98,2023/12/22,Ensayo
N400,EST090,MAT041,Matemáticas Aplicadas,71,2024/12/25,Examen Final
N001,EST001,MAT001,Cálculo I,85,2022/05/15,Examen Final
N002,EST001,MAT002,Álgebra Lineal,78,2022/07/20,Examen Final
N003,EST001,MAT003,Programación I,92,2022/06/10,Proyecto
N004,EST001,MAT004,Estructura de Datos,76,2023/05/25,Examen Final
N005,EST001,MAT005,Base de Datos,88,2023/07/12,Proyecto
N006,EST002,MAT009,Anatomía Humana,91,2023/12/15,Examen Final
N007,EST002,MAT010,Fisiología,84,2024/05/20,Examen Final
N008,EST002,MAT011,Bioquímica,79,2024/07/18,Examen Final
N009,EST003,MAT017,Derecho Civil,87,2021/06/22,Examen Final
N010,EST003,MAT018,Derecho Penal,83,2021/12/10,Examen Final
N011,EST003,MAT019,Derecho Constitucional,90,2022/05/15,Ensayo
N012,EST003,MAT020,Derecho Comercial,75,2022/12/08,Examen Final
N013,EST003,MAT021,Derecho Laboral,88,2023/05/20,Examen Final
N014,EST003,MAT022,Derecho Internacional,92,2023/12/12,Ensayo
N015,EST003,MAT023,Derecho Procesal,86,2024/05/25,Examen Final
N016,EST004,MAT025,Microeconomía,82,2022/12/15,Examen Final
N017,EST004,MAT026,Macroeconomía,78,2023/05/18,Examen Final
N018,EST004,MAT027,Estadística,85,2023/12/10,Examen Final
N019,EST004,MAT028,Econometría,91,2024/05/22,Proyecto
N020,EST005,MAT033,Psicología General,89,2021/12/20,Examen Final
N021,EST005,MAT034,Neuropsicología,76,2022/05/25,Examen Final
N022,EST005,MAT035,Psicología del Desarrollo,84,2022/12/15,Ensayo
N023,EST005,MAT036,Psicología Social,87,2023/05/18,Proyecto
N024,EST005,MAT037,Psicología Clínica,93,2023/12/12,Caso Clínico
N025,EST005,MAT038,Psicometría,80,2024/05/20,Examen Final
N026,EST006,MAT041,Matemáticas Aplicadas,77,2024/06/15,Examen Final
N027,EST006,MAT042,Física I,82,2024/07/20,Examen Final
N028,EST007,MAT049,Administración General,85,2020/12/18,Examen Final
N029,EST007,MAT050,Contabilidad,79,2021/05/22,Examen Final
N030,EST007,MAT051,Marketing,88,2021/12/15,Proyecto
N031,EST007,MAT052,Finanzas,92,2022/05/20,Caso de Estudio
N032,EST007,MAT053,Recursos Humanos,86,2022/12/10,Proyecto
N033,EST007,MAT054,Operaciones,83,2023/05/25,Examen Final
N034,EST007,MAT055,Estrategia Empresarial,90,2023/12/18,Caso de Estudio
N035,EST007,MAT056,Ética Empresarial,94,2024/05/15,Ensayo
N036,EST008,MAT001,Cálculo I,74,2023/06/20,Examen Final
N037,EST008,MAT002,Álgebra Lineal,81,2023/12/15,Examen Final
N038,EST008,MAT003,Programación I,89,2023/07/10,Proyecto
N039,EST008,MAT004,Estructura de Datos,75,2024/05/25,Examen Final
N040,EST009,MAT009,Anatomía Humana,88,2022/06/18,Examen Final
N041,EST009,MAT010,Fisiología,82,2022/12/20,Examen Final
N042,EST009,MAT011,Bioquímica,86,2023/05/15,Examen Final
N043,EST009,MAT012,Patología,91,2023/12/12,Examen Final
N044,EST009,MAT013,Farmacología,77,2024/05/18,Examen Final
N045,EST010,MAT017,Derecho Civil,79,2024/12/15,Examen Final
N046,EST011,MAT025,Microeconomía,84,2021/06/20,Examen Final
N047,EST011,MAT026,Macroeconomía,87,2021/12/18,Examen Final
N048,EST011,MAT027,Estadística,81,2022/05/22,Examen Final
N049,EST011,MAT028,Econometría,89,2022/12/15,Proyecto
N050,EST011,MAT029,Finanzas Públicas,85,2023/05/20,Examen Final
N051,EST011,MAT030,Comercio Internacional,92,2023/12/10,Caso de Estudio
N052,EST012,MAT033,Psicología General,76,2022/12/18,Examen Final
N053,EST012,MAT034,Neuropsicología,83,2023/05/25,Examen Final
N054,EST012,MAT035,Psicología del Desarrollo,88,2023/12/12,Ensayo
N055,EST012,MAT036,Psicología Social,91,2024/05/18,Proyecto
N056,EST013,MAT041,Matemáticas Aplicadas,78,2020/12/20,Examen Final
N057,EST013,MAT042,Física I,85,2021/05/15,Examen Final
N058,EST013,MAT043,Dibujo Técnico,82,2021/07/22,Proyecto
N059,EST013,MAT044,Mecánica de Materiales,87,2021/12/18,Examen Final
N060,EST013,MAT045,Hidráulica,93,2022/05/20,Laboratorio
N061,EST013,MAT046,Estructuras,89,2022/12/15,Proyecto
N062,EST013,MAT047,Geotecnia,86,2023/05/25,Examen Final
N063,EST014,MAT049,Administración General,80,2024/06/15,Examen Final
N064,EST014,MAT050,Contabilidad,77,2024/07/20,Examen Final
N065,EST015,MAT001,Cálculo I,91,2022/12/18,Examen Final
N066,EST015,MAT002,Álgebra Lineal,86,2023/05/22,Examen Final
N067,EST015,MAT003,Programación I,94,2023/06/15,Proyecto
N068,EST015,MAT004,Estructura de Datos,88,2023/12/10,Examen Final
N069,EST015,MAT005,Base de Datos,92,2024/05/20,Proyecto
N070,EST016,MAT009,Anatomía Humana,83,2023/06/25,Examen Final
N071,EST016,MAT010,Fisiología,79,2023/12/18,Examen Final
N072,EST016,MAT011,Bioquímica,85,2024/05/15,Examen Final
N073,EST017,MAT017,Derecho Civil,95,2020/06/22,Examen Final
N074,EST017,MAT018,Derecho Penal,91,2020/12/15,Examen Final
N075,EST017,MAT019,Derecho Constitucional,88,2021/05/20,Ensayo
N076,EST017,MAT020,Derecho Comercial,92,2021/12/18,Examen Final
N077,EST017,MAT021,Derecho Laboral,87,2022/05/25,Examen Final
N078,EST017,MAT022,Derecho Internacional,93,2022/12/12,Ensayo
N079,EST017,MAT023,Derecho Procesal,89,2023/05/18,Examen Final
N080,EST017,MAT024,Ética Jurídica,96,2023/12/15,Ensayo
N081,EST018,MAT025,Microeconomía,72,2024/12/20,Examen Final
N082,EST019,MAT033,Psicología General,86,2021/12/22,Examen Final
N083,EST019,MAT034,Neuropsicología,81,2022/05/18,Examen Final
N084,EST019,MAT035,Psicología del Desarrollo,89,2022/12/15,Ensayo
N085,EST019,MAT036,Psicología Social,84,2023/05/20,Proyecto
N086,EST019,MAT037,Psicología Clínica,91,2023/12/10,Caso Clínico
N087,EST019,MAT038,Psicometría,87,2024/05/25,Examen Final
N088,EST020,MAT041,Matemáticas Aplicadas,75,2022/06/18,Examen Final
N089,EST020,MAT042,Física I,79,2022/07/22,Examen Final
N090,EST020,MAT043,Dibujo Técnico,83,2022/12/15,Proyecto
N091,EST020,MAT044,Mecánica de Materiales,88,2023/05/20,Examen Final
N092,EST021,MAT049,Administración General,90,2021/06/25,Examen Final
N093,EST021,MAT050,Contabilidad,85,2021/12/18,Examen Final
N094,EST021,MAT051,Marketing,92,2022/05/22,Proyecto
N095,EST021,MAT052,Finanzas,87,2022/12/15,Caso de Estudio
N096,EST021,MAT053,Recursos Humanos,89,2023/05/20,Proyecto
N097,EST021,MAT054,Operaciones,93,2023/12/10,Examen Final
N098,EST021,MAT055,Estrategia Empresarial,91,2024/05/25,Caso de Estudio
N099,EST022,MAT001,Cálculo I,68,2024/12/18,Examen Final
N100,EST023,MAT009,Anatomía Humana,87,2022/06/20,Examen Final
N101,EST023,MAT010,Fisiología,83,2022/12/22,Examen Final
N102,EST023,MAT011,Bioquímica,90,2023/05/18,Examen Final
N103,EST023,MAT012,Patología,85,2023/12/15,Examen Final
N104,EST023,MAT013,Farmacología,92,2024/05/20,Examen Final
N105,EST024,MAT017,Derecho Civil,81,2023/12/25,Examen Final
N106,EST024,MAT018,Derecho Penal,76,2024/05/18,Examen Final
N107,EST024,MAT019,Derecho Constitucional,84,2024/07/22,Ensayo
N108,EST025,MAT025,Microeconomía,94,2020/12/18,Examen Final
N109,EST025,MAT026,Macroeconomía,91,2021/05/22,Examen Final
N110,EST025,MAT027,Estadística,88,2021/12/15,Examen Final
N111,EST025,MAT028,Econometría,93,2022/05/20,Proyecto
N112,EST025,MAT029,Finanzas Públicas,89,2022/12/10,Examen Final
N113,EST025,MAT030,Comercio Internacional,95,2023/05/25,Caso de Estudio
N114,EST025,MAT031,Desarrollo Económico,92,2023/12/18,Ensayo
N115,EST025,MAT032,Política Económica,90,2024/05/15,Examen Final
N116,EST026,MAT033,Psicología General,73,2024/06/20,Examen Final
N117,EST027,MAT041,Matemáticas Aplicadas,82,2021/12/22,Examen Final
N118,EST027,MAT042,Física I,87,2022/05/18,Examen Final
N119,EST027,MAT043,Dibujo Técnico,91,2022/07/25,Proyecto
N120,EST027,MAT044,Mecánica de Materiales,85,2022/12/15,Examen Final
N121,EST027,MAT045,Hidráulica,89,2023/05/20,Laboratorio
N122,EST027,MAT046,Estructuras,93,2023/12/10,Proyecto
N123,EST028,MAT049,Administración General,78,2022/06/25,Examen Final
N124,EST028,MAT050,Contabilidad,84,2022/12/18,Examen Final
N125,EST028,MAT051,Marketing,86,2023/05/22,Proyecto
N126,EST028,MAT052,Finanzas,91,2023/12/15,Caso de Estudio
N127,EST029,MAT001,Cálculo I,89,2021/06/20,Examen Final
N128,EST029,MAT002,Álgebra Lineal,85,2021/12/25,Examen Final
N129,EST029,MAT003,Programación I,93,2021/07/18,Proyecto
N130,EST029,MAT004,Estructura de Datos,87,2022/05/22,Examen Final
N131,EST029,MAT005,Base de Datos,91,2022/12/15,Proyecto
N132,EST029,MAT006,Sistemas Operativos,88,2023/05/20,Examen Final
N133,EST029,MAT007,Redes de Computadores,92,2023/12/10,Proyecto
N134,EST030,MAT009,Anatomía Humana,76,2024/12/22,Examen Final
N135,EST031,MAT017,Derecho Civil,88,2022/12/20,Examen Final
N136,EST031,MAT018,Derecho Penal,83,2023/05/25,Examen Final
N137,EST031,MAT019,Derecho Constitucional,90,2023/07/18,Ensayo
N138,EST031,MAT020,Derecho Comercial,85,2023/12/15,Examen Final
N139,EST031,MAT021,Derecho Laboral,92,2024/05/20,Examen Final
N140,EST032,MAT025,Microeconomía,79,2023/06/25,Examen Final
N141,EST032,MAT026,Macroeconomía,84,2023/12/18,Examen Final
N142,EST032,MAT027,Estadística,87,2024/05/22,Examen Final
N143,EST033,MAT033,Psicología General,95,2020/06/18,Examen Final
N144,EST033,MAT034,Neuropsicología,91,2020/12/22,Examen Final
N145,EST033,MAT035,Psicología del Desarrollo,88,2021/05/25,Ensayo
N146,EST033,MAT036,Psicología Social,93,2021/12/15,Proyecto
N147,EST033,MAT037,Psicología Clínica,89,2022/05/20,Caso Clínico
N148,EST033,MAT038,Psicometría,92,2022/12/10,Examen Final
N149,EST033,MAT039,Psicoterapia,94,2023/05/18,Caso Clínico
N150,EST033,MAT040,Ética Profesional,96,2023/12/25,Ensayo
N151,EST034,MAT041,Matemáticas Aplicadas,71,2024/12/18,Examen Final
N152,EST035,MAT049,Administración General,86,2021/06/22,Examen Final
N153,EST035,MAT050,Contabilidad,82,2021/12/20,Examen Final
N154,EST035,MAT051,Marketing,89,2022/05/25,Proyecto
N155,EST035,MAT052,Finanzas,91,2022/12/18,Caso de Estudio
N156,EST035,MAT053,Recursos Humanos,87,2023/05/22,Proyecto
N157,EST035,MAT054,Operaciones,93,2023/12/15,Examen Final
N158,EST036,MAT001,Cálculo I,84,2022/12/20,Examen Final
N159,EST036,MAT002,Álgebra Lineal,78,2023/05/25,Examen Final
N160,EST036,MAT003,Programación I,91,2023/06/18,Proyecto
N161,EST036,MAT004,Estructura de Datos,86,2023/12/15,Examen Final
N162,EST037,MAT009,Anatomía Humana,92,2021/06/25,Examen Final
N163,EST037,MAT010,Fisiología,88,2021/12/22,Examen Final
N164,EST037,MAT011,Bioquímica,85,2022/05/18,Examen Final
N165,EST037,MAT012,Patología,90,2022/12/20,Examen Final
N166,EST037,MAT013,Farmacología,87,2023/05/25,Examen Final
N167,EST037,MAT014,Medicina Interna,94,2023/12/15,Examen Final
N168,EST037,MAT015,Cirugía General,91,2024/05/22,Práctica
N169,EST038,MAT017,Derecho Civil,77,2024/06/18,Examen Final
N170,EST038,MAT018,Derecho Penal,82,2024/07/25,Examen Final
N171,EST039,MAT025,Microeconomía,89,2022/12/22,Examen Final
N172,EST039,MAT026,Macroeconomía,85,2023/05/20,Examen Final
N173,EST039,MAT027,Estadística,91,2023/12/18,Examen Final
N174,EST039,MAT028,Econometría,88,2024/05/25,Proyecto
N175,EST039,MAT029,Finanzas Públicas,93,2024/07/15,Examen Final
N176,EST040,MAT033,Psicología General,81,2023/12/25,Examen Final
N177,EST040,MAT034,Neuropsicología,86,2024/05/18,Examen Final
N178,EST040,MAT035,Psicología del Desarrollo,83,2024/07/22,Ensayo
N179,EST041,MAT041,Matemáticas Aplicadas,95,2020/12/20,Examen Final
N180,EST041,MAT042,Física I,92,2021/05/25,Examen Final
N181,EST041,MAT043,Dibujo Técnico,89,2021/07/18,Proyecto
N182,EST041,MAT044,Mecánica de Materiales,91,2021/12/22,Examen Final
N183,EST041,MAT045,Hidráulica,88,2022/05/20,Laboratorio
N184,EST041,MAT046,Estructuras,94,2022/12/15,Proyecto
N185,EST041,MAT047,Geotecnia,90,2023/05/25,Examen Final
N186,EST041,MAT048,Construcción,93,2023/12/18,Proyecto
N187,EST042,MAT049,Administración General,74,2024/06/22,Examen Final
N188,EST043,MAT001,Cálculo I,87,2021/12/25,Examen Final
N189,EST043,MAT002,Álgebra Lineal,83,2022/05/18,Examen Final
N190,EST043,MAT003,Programación I,90,2022/06/22,Proyecto
N191,EST043,MAT004,Estructura de Datos,85,2022/12/20,Examen Final
N192,EST043,MAT005,Base de Datos,92,2023/05/25,Proyecto
N193,EST043,MAT006,Sistemas Operativos,88,2023/12/15,Examen Final
N194,EST044,MAT009,Anatomía Humana,79,2022/06/18,Examen Final
N195,EST044,MAT010,Fisiología,84,2022/12/25,Examen Final
N196,EST044,MAT011,Bioquímica,87,2023/05/22,Examen Final
N197,EST044,MAT012,Patología,91,2023/12/18,Examen Final
N198,EST045,MAT017,Derecho Civil,93,2021/12/20,Examen Final
N199,EST045,MAT018,Derecho Penal,89,2022/05/25,Examen Final
N200,EST045,MAT019,Derecho Constitucional,91,2022/07/18,Ensayo
N201,EST045,MAT020,Derecho Comercial,86,2022/12/22,Examen Final
N202,EST045,MAT021,Derecho Laboral,94,2023/05/20,Examen Final
N203,EST045,MAT022,Derecho Internacional,92,2023/12/15,Ensayo
N204,EST045,MAT023,Derecho Procesal,88,2024/05/25,Examen Final
N205,EST046,MAT025,Microeconomía,76,2024/06/20,Examen Final
N206,EST046,MAT026,Macroeconomía,81,2024/07/25,Examen Final
N207,EST047,MAT033,Psicología General,88,2022/06/18,Examen Final
N208,EST047,MAT034,Neuropsicología,84,2022/12/22,Examen Final
N209,EST047,MAT035,Psicología del Desarrollo,90,2023/05/25,Ensayo
N210,EST047,MAT036,Psicología Social,87,2023/12/20,Proyecto
N211,EST047,MAT037,Psicología Clínica,95,2024/05/18,Caso Clínico
N212,EST048,MAT041,Matemáticas Aplicadas,82,2023/12/25,Examen Final
N213,EST048,MAT042,Física I,78,2024/05/22,Examen Final
N214,EST048,MAT043,Dibujo Técnico,85,2024/07/18,Proyecto
N215,EST049,MAT049,Administración General,96,2020/06/20,Examen Final
N216,EST049,MAT050,Contabilidad,93,2020/12/25,Examen Final
N217,EST049,MAT051,Marketing,91,2021/05/18,Proyecto
N218,EST049,MAT052,Finanzas,94,2021/12/22,Caso de Estudio
N219,EST049,MAT053,Recursos Humanos,89,2022/05/25,Proyecto
N220,EST049,MAT054,Operaciones,92,2022/12/20,Examen Final
N221,EST049,MAT055,Estrategia Empresarial,95,2023/05/15,Caso de Estudio
N222,EST049,MAT056,Ética Empresarial,97,2023/12/18,Ensayo
N223,EST050,MAT001,Cálculo I,69,2024/12/25,Examen Final
N224,EST051,MAT009,Anatomía Humana,85,2021/06/22,Examen Final
N225,EST051,MAT010,Fisiología,81,2021/12/18,Examen Final
N226,EST051,MAT011,Bioquímica,88,2022/05/25,Examen Final
N227,EST051,MAT012,Patología,83,2022/12/22,Examen Final
N228,EST051,MAT013,Farmacología,90,2023/05/20,Examen Final
N229,EST051,MAT014,Medicina Interna,87,2023/12/15,Examen Final
N230,EST052,MAT017,Derecho Civil,91,2022/12/18,Examen Final
N231,EST052,MAT018,Derecho Penal,86,2023/05/22,Examen Final
N232,EST052,MAT019,Derecho Constitucional,89,2023/07/25,Ensayo
N233,EST052,MAT020,Derecho Comercial,84,2023/12/20,Examen Final
N234,EST053,MAT025,Microeconomía,92,2021/06/25,Examen Final
N235,EST053,MAT026,Macroeconomía,88,2021/12/20,Examen Final
N236,EST053,MAT027,Estadística,85,2022/05/18,Examen Final
N237,EST053,MAT028,Econometría,91,2022/12/25,Proyecto
N238,EST053,MAT029,Finanzas Públicas,89,2023/05/22,Examen Final
N239,EST053,MAT030,Comercio Internacional,94,2023/12/18,Caso de Estudio
N240,EST053,MAT031,Desarrollo Económico,87,2024/05/20,Ensayo
N241,EST054,MAT033,Psicología General,77,2024/12/22,Examen Final
N242,EST055,MAT041,Matemáticas Aplicadas,83,2022/06/20,Examen Final
N243,EST055,MAT042,Física I,88,2022/07/25,Examen Final
N244,EST055,MAT043,Dibujo Técnico,86,2022/12/18,Proyecto
N245,EST055,MAT044,Mecánica de Materiales,91,2023/05/22,Examen Final
N246,EST055,MAT045,Hidráulica,89,2023/12/20,Laboratorio
N247,EST056,MAT049,Administración General,80,2023/06/25,Examen Final
N248,EST056,MAT050,Contabilidad,85,2023/12/18,Examen Final
N249,EST056,MAT051,Marketing,82,2024/05/22,Proyecto
N250,EST057,MAT001,Cálculo I,94,2020/12/20,Examen Final
N251,EST057,MAT002,Álgebra Lineal,91,2021/05/25,Examen Final
N252,EST057,MAT003,Programación I,89,2021/06/18,Proyecto
N253,EST057,MAT004,Estructura de Datos,93,2021/12/22,Examen Final
N254,EST057,MAT005,Base de Datos,87,2022/05/20,Proyecto
N255,EST057,MAT006,Sistemas Operativos,92,2022/12/15,Examen Final
N256,EST057,MAT007,Redes de Computadores,90,2023/05/25,Proyecto
N257,EST057,MAT008,Ingeniería de Software,95,2023/12/18,Proyecto
N258,EST058,MAT009,Anatomía Humana,73,2024/06/22,Examen Final
N259,EST059,MAT017,Derecho Civil,87,2021/12/25,Examen Final
N260,EST059,MAT018,Derecho Penal,83,2022/05/18,Examen Final
N261,EST059,MAT019,Derecho Constitucional,90,2022/07/22,Ensayo
N262,EST059,MAT020,Derecho Comercial,85,2022/12/20,Examen Final
N263,EST059,MAT021,Derecho Laboral,92,2023/05/25,Examen Final
N264,EST059,MAT022,Derecho Internacional,88,2023/12/15,Ensayo
